"base","en","de"
"Add Task","Add Task","Aufgabe hinzufügen"
"Cancel","Cancel","Abbrechen"
"Choose Time","Choose Time","Zeit auswählen"
"English","English","Englisch"
"Erase picture","Erase picture","Bild löschen"
"German","German","Deutsch"
"How to remind you?","How to remind you?","Wie soll ich Dich erinnern?"
"Proceed","Proceed","Fortfahren"
"Recurring Tasks Manager","Recurring Tasks Manager","Wiederkehrende Aufgaben Manager"
"Remind me in X days","Remind me in X days","Erinnere mich in X Tagen"
"Remind me in X months","Remind me in X months","Erinnere mich in X Monaten"
"Remind me in X weeks","Remind me in X weeks","Erinnere mich in X Wochen"
"Remind me on last day of a month","Remind me on last day of a month","Erinnere mich am letzten Tag im Monat"
"Saving task...","Saving task...","Wird gespeichert..."
"Set language","Set language","Sprache auswählen"
"Set language:","Set language:","Sprache auswählen"
"Take a picture","Take a picture","Foto machen"
"Task active...","Task active...","Aufgabe aktiv..."
"Task archived...","Task archived...","Aufgabe archiviert..."
"Task deleted...","Task deleted...","Aufgabe gelöscht..."
"Task done...","Task done...","Aufgabe erledigt..."
"Task ignored...","Task ignored...","Aufgabe ignoriert..."
"This Task has still to be done. Do you want to archive it anyway?","This Task has still to be done. Do you want to archive it anyway?","Dieser Aufgabe muss noch erledigt werden. Willst Du ihn trotzdem archivieren?"
"Time of day to pop up","Time of day to pop up","Tageszeit der Erinnerung"
"Time of day to pop up:","Time of day to pop up:","Tageszeit der Erinnerung:"
"Title","Title","Titel"
"Title:","Title:","Titel:"
"active","active","aktiv"
"archive","archive","Archiv"
"new task","new task","Neuer Aufgabe"
"privacy policy","privacy policy","Datenschutzerklärung"
"settings","settings","Einstellungen"
"todos","todos","Todos"
"undone todo","undone todo","Rückgängig gemacht"
